County Code, County Name, Precinct Code, Precinct Name, Polling Location, Polling Location Address,Overflow,
1,ABBEVILLE,1,Abbeville No. 1,Abbeville Civic Center,404 N Main St Abbeville  SC 29620,,
1,ABBEVILLE,2,Abbeville No. 2,Abbeville County Court House,102 Court Sq Abbeville  SC 29620,,
1,ABBEVILLE,3,Abbeville No. 3,Abbeville County Complex,903 W Greenwood St Abbeville  SC 29620,,
1,ABBEVILLE,4,Abbeville No. 4,Abbeville Fire Dept Headquarters,17 Old Calhoun Falls Rd Abbeville  SC 29620,,
1,ABBEVILLE,5,Antreville,Antreville Fire Dept,147 Hwy 184 W Abbeville  SC 29620,,
1,ABBEVILLE,999,Barrier Free,Voter Registration Office,903 W Greenwood St Ste 2500 Abbeville  SC 29620,,
1,ABBEVILLE,6,Broadmouth,Turkey Creek Fire Dept,6855 Hwy 252 Donalds  SC 29638,,
1,ABBEVILLE,7,Calhoun Falls,Calhoun Falls Civic Center,401 Washington St N Calhoun Falls  SC 29628,,
1,ABBEVILLE,8,Cold Springs,Cold Springs Fire Dept,2106 Hwy 20 Abbeville  SC 29620,,
1,ABBEVILLE,9,Donalds,Donalds Fire Department,445 W Main St Donalds  SC 29638,,
1,ABBEVILLE,10,Due West,Due West Fire Department,13 Church St Due West  SC 29639,,
1,ABBEVILLE,11,Hall's Store,Calvary Baptist Church,5551 Hwy 252 Ware Shoals  SC 29692,,
1,ABBEVILLE,12,Keowee,Keowee Fire Dept,4065 Keowee Rd Honea Path  SC 29654,,
1,ABBEVILLE,14,Lebanon,Sharon Fire Dept,167 Firehouse Rd Abbeville  SC 29620,,
1,ABBEVILLE,13,Lowndesville,Lownds. Community Center,416 Main St Lowndesville  SC 29659,,
1,ABBEVILLE,15,Smithville,Ebenezer United Methodist Church,2470 Old Abbeville Hwy Abbeville  SC 29620,,
2,AIKEN,1,Aiken No. 1,St Johns Methodist Church,104 Newberry St NW Aiken  SC 29801,,
2,AIKEN,2,Aiken No. 2,Lessie B Price Aiken Senior & Youth Ctr,841 Edgefield Ave NW Aiken  SC 29801,,
2,AIKEN,3,Aiken No. 3,Aiken High School,449 Rutland Dr NW Aiken  SC 29801,,
2,AIKEN,4,Aiken No. 4,Smith Hazel Rec Center,400 Kershaw St NE Aiken  SC 29801,,
2,AIKEN,47,Aiken No. 47,Odell Weeks Ctr,1700 Whiskey Rd Aiken  SC 29803,,
2,AIKEN,5,Aiken No. 5,St Mary's Smith Hall,125 Park Ave SE Aiken  SC 29801,,
2,AIKEN,6,Aiken No. 6,Odell Weeks Ctr,1700 Whiskey Rd Aiken  SC 29803,,
2,AIKEN,69,Anderson Pond No. 69,Millbrook Baptist Church,223 S Aiken Blvd SE Aiken  SC 29803,,
2,AIKEN,63,Ascauga Lake,Mt Transfiguration Bap Ch,350 Blanchard Rd North Augusta  SC 29841,,
2,AIKEN,84,Ascauga Lake No. 84,Crown Kingdom Cul Ctr,720 Edgefield Rd North Augusta  SC 29841,,
2,AIKEN,999,Barrier Free,Reg And Elections Office,1930 University Pkwy Ste 1200 Aiken  SC 29801,,
2,AIKEN,7,Bath,L B C Middle School,29 Lions Trl Warrenville  SC 29851,,
2,AIKEN,8,Beech Island,Beech Isl Fire Dept,1565 Sand Bar Ferry Rd Beech Island  SC 29842,,
2,AIKEN,44,Belvedere No. 44,Belvedere Elementary School,201 Rhomboid Pl Belvedere  SC 29841,,
2,AIKEN,62,Belvedere No. 62,1St Baptist Ch Belveder,421 Edgefield Rd North Augusta  SC 29841,,
2,AIKEN,74,Belvedere No. 74,1St Baptist Ch Belveder,421 Edgefield Rd North Augusta  SC 29841,,
2,AIKEN,9,Belvedere No. 9,Nancy Carson Library,135 Edgefield Rd North Augusta  SC 29841,,
2,AIKEN,50,Breezy Hill,Christian Heritage Church,285 Ascauga Lake Rd Graniteville  SC 29829,,
2,AIKEN,10,Carolina Heights,American Legion Post 232,6070 Broadcast Dr North Augusta  SC 29841,,
2,AIKEN,64,Cedar Creek No. 64,Cedar Creek Church,3001 Banks Mill Rd SE Aiken  SC 29803,,
2,AIKEN,11,China Springs,Center Fire Substation,7 T And S Dr Aiken  SC 29801,,
2,AIKEN,12,Clearwater,Clearwater Elem Sch,4552 Augusta Rd Beech Island  SC 29842,,
2,AIKEN,13,College Acres,Mercy,2700 Whiskey Rd Aiken  SC 29803,,
2,AIKEN,86,Community No. 86,Graniteville Community Church,208 Bettis Academy Rd Graniteville  SC 29829,,
2,AIKEN,56,Couchton,Aiken Electric Coop,2790 Wagener Rd Aiken  SC 29801,,
2,AIKEN,85,Creek No. 85,Mossy Creek Elem School,421 W Five Notch Rd North Augusta  SC 29841,,
2,AIKEN,14,Eureka,Mount Sinai Baptist Church,596 Johnston Hwy Trenton  SC 29847,,
2,AIKEN,58,Fox Creek No. 58,Grace Fellowship Church,507 W Five Notch Rd North Augusta  SC 29860,,
2,AIKEN,73,Fox Creek No. 73,N. Aug. Public Safety,501 W Five Notch Rd North Augusta  SC 29860,,
2,AIKEN,60,Gem Lakes No. 60,Warrenville Elementary,569 Howlandville Rd Warrenville  SC 29851,,
2,AIKEN,77,Gem Lakes No. 77,Aiken Elementary School,2050 Pine Log Rd Aiken  SC 29803,,
2,AIKEN,15,Gloverville,First Baptist Church Gloverville,2212 Augusta Rd Gloverville  SC 29828,,
2,AIKEN,16,Graniteville,Hope Center,3 Hickman St Graniteville  SC 29829,,
2,AIKEN,48,Hammond,New Beginning Ministries,317 Williston Rd Beech Island  SC 29842,,
2,AIKEN,81,Hammond No. 81,New Beginning Ministries,317 Williston Rd Beech Island  SC 29842,,
2,AIKEN,66,Hitchcock No.66,St Paul Lutheran Church,961 Trail Ridge Rd Aiken  SC 29803,,
2,AIKEN,53,Hollow Creek,Mercy,2700 Whiskey Rd Aiken  SC 29803,,
2,AIKEN,17,Jackson,Jackson Town Hall,106 Main St Jackson  SC 29831,,
2,AIKEN,18,Langley,Langley Community Center,2710 Augusta Rd Warrenville  SC 29851,,
2,AIKEN,83,Levels No 83,Kennedy Middle School,274 E Pine Log Rd Aiken  SC 29803,,
2,AIKEN,52,Levels No. 52,Kennedy Middle School,274 E Pine Log Rd Aiken  SC 29803,,
2,AIKEN,72,Levels No.72,Aiken Electric Coop,2790 Wagener Rd Aiken  SC 29801,,
2,AIKEN,19,Lynwood,Burnettown Municipal Bldg,3187 Augusta Rd Warrenville  SC 29851,,
2,AIKEN,51,Midland Valley No. 51,Aiken County Career Center,2455 Jefferson Davis Hwy Warrenville  SC 29851,,
2,AIKEN,71,Midland Valley No. 71,Aiken Technical College,2276 Jefferson Davis Hwy Rm 1300 Graniteville  SC 29829,,
2,AIKEN,20,Millbrook,Aiken Elementary School,2050 Pine Log Rd Aiken  SC 29803,,
2,AIKEN,45,Misty Lakes,Mims Grove Baptist Church,843 Ridge Rd North Augusta  SC 29860,,
2,AIKEN,21,Monetta,Ridge-Spring Monetta High School,1071 Trojan Rd Monetta  SC 29105,,
2,AIKEN,22,Montmorenci No. 22,Montmorenci First Bapt Ch,44 Old Barnwell Rd Aiken  SC 29803,,
2,AIKEN,78,Montmorenci No. 78,Montmorenci First Bapt Ch,44 Old Barnwell Rd Aiken  SC 29803,,
2,AIKEN,23,New Ellenton,New Ellenton Community Center,212 Pine Hill Ave New Ellenton  SC 29809,,
2,AIKEN,24,New Holland,New Holland Fire Department,2243 Old 96 Indian Trl Batesburg  SC 29006,,
2,AIKEN,25,North Augusta No. 25,N A Community Center,495 Brookside Ave North Augusta  SC 29841,,
2,AIKEN,26,North Augusta No. 26,Fairview Presbyterian Church,1101 Carolina Ave North Augusta  SC 29841,,
2,AIKEN,27,North Augusta No. 27,N Augusta High School,2000 Knobcone Ave North Augusta  SC 29841,,
2,AIKEN,28,North Augusta No. 28,Hammond Hill Elem School,901 W Woodlawn Ave North Augusta  SC 29841,,
2,AIKEN,29,North Augusta No. 29,First Baptist Church,602 Georgia Ave North Augusta  SC 29841,,
2,AIKEN,54,North Augusta No. 54,N Augusta Middle School,725 Old Edgefield Rd North Augusta  SC 29841,,
2,AIKEN,55,North Augusta No. 55,Holy Trinity Lutheran Ch,1002 Carolina Ave North Augusta  SC 29841,,
2,AIKEN,68,North Augusta No. 68,Mossy Creek Elem School,421 W Five Notch Rd North Augusta  SC 29841,,
2,AIKEN,80,North Augusta No. 80,Fairview Presbyterian Church,1101 Carolina Ave North Augusta  SC 29841,,
2,AIKEN,67,North Augusta No.67,Riverview Pk Act Bldg,100 Riverview Park Dr North Augusta  SC 29841,,
2,AIKEN,30,Oak Grove,Oak Grove Baptist Church,1721 Old 96 Indian Trl Batesburg  SC 29006,,
2,AIKEN,31,Perry,Perry Town Hall,1075 E Railroad Ave N Perry  SC 29137,,
2,AIKEN,59,Pine Forest,Warrenville Elementary--Temporary,569 Howlandville Rd Warrenville  SC 29851,,
2,AIKEN,57,Redds Branch,E. Aiken School Of the Arts,223 Old Wagener Rd Aiken  SC 29801,,
2,AIKEN,32,Salley,Old Crescent Voc School,230 Pine St NW Salley  SC 29137,,
2,AIKEN,79,Sandstone No. 79,South Aiken High School,232 E Pine Log Rd Aiken  SC 29803,,
2,AIKEN,70,Sandstone No.70,South Aiken High School,232 E Pine Log Rd Aiken  SC 29803,,
2,AIKEN,33,Shaws Fork,Shaws Fork Baptist Church,1085 Shaws Fork Rd Aiken  SC 29805,,
2,AIKEN,34,Shiloh,J D Lever Elementary,2404 Columbia Hwy N Aiken  SC 29805,,
2,AIKEN,61,Silver Bluff,Silver Bluff High Sch.,64 Desoto Dr Aiken  SC 29803,,
2,AIKEN,35,Six Points No. 35,USC A Convocation Center,2049 Champion Way Aiken  SC 29801,,
2,AIKEN,46,Six Points No. 46,Ctr. of Innovative Learning@ Pinecrest,1050 Pinecrest Ave Aiken  SC 29801,,
2,AIKEN,65,Sleepy Hollow No. 65,St Aug Of Cant Epis Ch,1630 Silver Bluff Rd Aiken  SC 29803,,
2,AIKEN,75,South Aiken No. 75,Cedar Creek Church -- Temporary,3001 Banks Mill Rd SE Aiken  SC 29803,,
2,AIKEN,76,South Aiken No. 76,Living Hope,2550 Old Dominion Rd Aiken  SC 29803,,
2,AIKEN,36,Tabernacle,Couchton Fire Subst No. 2,4765 Wagener Rd Wagener  SC 29164,,
2,AIKEN,37,Talatha,New Ellen. Middle Sch,814 S Main St New Ellenton  SC 29809,,
2,AIKEN,38,Vaucluse,1St   Bapt Ch Vaucluse,2 Church St Aiken  SC 29801,,
2,AIKEN,39,Wagener,Courtney Senior Center,49 Roy St Wagener  SC 29164,,
2,AIKEN,40,Ward,Jerusalem Baptist Church,4185 Columbia Hwy N. Ridge Spring  SC 29129,,
2,AIKEN,41,Warrenville,1St Bapt Ch Warrenville,1012 Aiken Blvd Warrenville  SC 29851,,
2,AIKEN,42,White Pond,Summer Grove Baptist Church,2465 Old Barnwell Rd Williston  SC 29853,,
2,AIKEN,49,Willow Sprgs,Clearwater Elem Sch,4552 Augusta Rd Beech Island  SC 29842,,
2,AIKEN,43,Windsor,Oakwood-Windsor Elementary School,3773 Charleston Hwy Aiken  SC 29801,,
2,AIKEN,82,Windsor No. 82,Oakwood-Windsor Elementary School,3773 Charleston Hwy Aiken  SC 29801,,
3,ALLENDALE,1,Allendale No. 1,Brandt Building,398 Barnwell Hwy Allendale  SC 29810,,
3,ALLENDALE,2,Allendale No. 2,Allendale Community Building,217 Flat St E Allendale  SC 29810,,
3,ALLENDALE,999,Barrier Free,Voter Reg.& Elections Off,158 McNair St Allendale  SC 29810,,
3,ALLENDALE,3,Fairfax No. 1,Fairfax Fire Dept.,700 Charleston Ave S Fairfax  SC 29827,,
3,ALLENDALE,4,Fairfax No. 2,Fairfax Municipal Building,560 4th St W Fairfax  SC 29827,,
3,ALLENDALE,5,Martin,Martin Fire Department,175 Chert Quarry Rd Martin  SC 29836,,
3,ALLENDALE,6,Sycamore,Sycamore Town Hall,226 E Main St Sycamore  SC 29846,,
3,ALLENDALE,7,Ulmer,Ulmer Town Hall,148 Ulmer Rd Ulmer  SC 29849,,
3,ALLENDALE,8,Woods,Allendale Community Building,217 Flat St E Allendale  SC 29810,,
4,ANDERSON,74,Anderson 1/1,Whitehall Elem School,702 Whitehall Rd Anderson  SC 29625,,
4,ANDERSON,75,Anderson 1/2,Concord Elementary School,2701 Calrossie Rd Anderson  SC 29621,,
4,ANDERSON,76,Anderson 2/1,Holy Trinity Lutheran Church,209 Broad St Anderson  SC 29621,,
4,ANDERSON,77,Anderson 2/2,Calhoun Academy of the Arts,1520 E Calhoun St Anderson  SC 29621,,
4,ANDERSON,78,Anderson 3/1,Anderson County Library,300 N McDuffie St Anderson  SC 29621,,
4,ANDERSON,79,Anderson 3/2,Nevitt Forest Comm School A,1401 Bolt Dr Anderson  SC 29621,,
4,ANDERSON,80,Anderson 4/1,Anderson V Career Campus,1225 S McDuffie St Anderson  SC 29624,,
4,ANDERSON,81,Anderson 4/2,Nevitt Forest Comm School B,1401 Bolt Dr Anderson  SC 29621,,
4,ANDERSON,83,Anderson 5/B,Southwood Academy of the Arts B,1110 Southwood St Anderson  SC 29624,,
4,ANDERSON,84,Anderson 6/1,Trinity United Methodist,1809 N Main St Anderson  SC 29621,,
4,ANDERSON,85,Anderson 6/2,Southwood Academy of the Arts A,1110 Southwood St Anderson  SC 29624,,
